ordem;processo;area;pontuacao_nao_calibrada;resultado_historico;rodada
4153;896.191/2013;2444;0.14338862249270581;1;8
4154;810.596/2014;833;0.143340453264385;0;8
4155;810.414/2017;3949;0.14324875428172515;1;8
4156;890.259/2018;2183;0.14302232709516685;0;8
4157;840.300/2016;1384;0.14301480920775467;1;8
4158;846.117/2016;2549;0.14283383214377357;1;8
4159;800.373/2016;527;0.1424184205693156;0;8
4160;800.374/2016;528;0.1424184205693156;0;8
4161;300.429/2020;212;0.14219991264687346;1;8
4162;840.324/2014;4082;0.14219420120303614;1;8
4163;810.282/2019;2486;0.14207067487323963;0;8
4164;810.697/2018;4483;0.14207067487323963;0;8
4165;810.165/2018;4548;0.14207067487323963;1;8
4166;300.612/2017;4291;0.14206809678468518;1;8
4167;810.262/2018;4383;0.14203385274294605;1;8
4168;848.661/2010;1492;0.14138503914700926;1;8
4169;810.695/2018;4382;0.14134422304311087;1;8
4170;806.141/2014;749;0.14102310148249486;0;8
4171;846.070/2016;3680;0.14048541551194837;1;8
4172;896.044/2014;2224;0.14039362914237566;1;8
4173;890.003/2013;4170;0.14038396227466327;0;8
4174;864.222/2014;1836;0.1403262902553277;0;8
4175;806.073/2014;4293;0.1403262902553277;1;8
4176;810.132/2018;790;0.13957705561783518;1;8
4177;800.650/2016;579;0.1394670199192293;1;8
4178;821.332/2013;1070;0.13918375687889104;0;8
4179;846.450/2007;3713;0.13910617675378972;0;8
4180;810.443/2012;815;0.13902339814283124;1;8
4181;815.023/2008;900;0.1387488540836785;1;8
4182;815.024/2008;901;0.1387488540836785;0;8
4183;803.157/2018;647;0.13863975909372417;1;8
4184;300.409/2021;3857;0.13847297568577455;1;8
4185;890.027/2016;2170;0.13809725349707672;1;8
4186;880.091/2013;2125;0.13803902269490625;0;8
4187;880.220/2013;2134;0.13803902269490625;0;8
4188;830.101/2017;1134;0.1373181019546222;1;8
4189;878.008/2021;4422;0.13727094486447353;1;8
4190;806.080/2018;739;0.1367986514716285;0;8
4191;864.128/2015;1820;0.1367711500984133;1;8
4192;300.436/2018;215;0.13673279250746814;0;8
4193;815.815/2009;2453;0.136629362051232;0;8
4194;810.816/2020;3975;0.13658729954067095;0;8
4195;810.817/2020;3976;0.13658729954067095;0;8
4196;848.651/2010;2479;0.13644815181003211;1;8
4197;803.080/2020;635;0.1363152595902692;0;8
4198;862.517/2011;1786;0.13608763662615656;0;8
4199;840.377/2016;2533;0.13521378934463074;1;8
4200;810.581/2016;831;0.13517704528648067;1;8
4201;896.136/2013;2236;0.13461296037590204;1;8
4202;806.206/2012;752;0.1344420169189476;1;8
4203;840.010/2017;3661;0.1339119439795206;1;8
4204;890.335/2015;4174;0.1336549519016543;0;8
4205;806.092/2017;741;0.13364512028247869;1;8
4206;303.114/2017;456;0.13276986636196708;0;8
4207;810.873/2013;3235;0.13273720218725568;0;8
4208;300.349/2021;3854;0.13247188576514235;1;8
4209;810.716/2021;4484;0.13247188576514235;1;8
4210;300.192/2023;4499;0.132437167423589;0;8
4211;880.222/2013;3378;0.13237711078842987;0;8
4212;860.733/2011;4228;0.13194892441520864;1;8
4213;861.514/2011;1760;0.13184017464347106;1;8
4214;803.187/2014;654;0.13167235484625361;1;8
4215;880.057/2016;2896;0.13166677163040344;1;8
4216;810.312/2011;3243;0.13149265220921297;0;8
4217;846.103/2016;3684;0.1314008561343841;1;8
4218;846.132/2017;4085;0.13119244936941962;1;8
4219;806.034/2016;733;0.13110689869738276;0;8
4220;300.778/2017;322;0.13059210294362578;1;8
4221;890.301/2014;4326;0.13047950095040795;0;8
4222;803.034/2013;622;0.1303774097674136;1;8
4223;803.035/2013;623;0.1303774097674136;1;8
4224;803.306/2013;676;0.1303774097674136;0;8
4225;803.308/2013;678;0.1303774097674136;0;8
4226;821.521/2013;1072;0.1302373374960561;0;8
4227;300.653/2021;3871;0.13009552790291415;0;8
4228;303.340/2018;4278;0.13008356914036928;0;8
4229;860.096/2018;4478;0.13001724276280402;1;8
4230;864.167/2014;1827;0.12986176871965469;1;8
4231;803.186/2014;653;0.1298598914758093;1;8
4232;890.479/2006;4177;0.12952776018179268;1;8
4233;860.282/2018;1595;0.12932285303631938;1;8
4234;840.308/2016;1385;0.12895408074492187;0;8
4235;840.340/2016;1387;0.12895408074492187;0;8
4236;840.311/2016;4373;0.12895408074492187;1;8
4237;890.896/2014;2441;0.1287585073934008;1;8
4238;848.602/2011;4522;0.1278019174548913;0;8
4239;806.220/2007;757;0.12696973687850158;0;8
4240;300.830/2017;342;0.1268888626038234;0;8
4241;871.914/2016;4157;0.12677008879319404;1;8
4242;806.283/2007;768;0.12665814734534384;1;8
4243;806.076/2007;2954;0.12665814734534384;0;8
4244;811.674/2014;893;0.1266242574942335;0;8
4245;806.043/2017;738;0.1261120502928659;1;8
4246;800.512/2016;560;0.1260839858732259;1;8
4247;820.035/2015;962;0.12600479897109773;0;8
4248;890.422/2015;2202;0.1259973238355908;0;8
4249;848.184/2015;1439;0.12580548516235604;1;8
4250;890.324/2014;2191;0.12576509577137907;1;8
